Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Gas,Nuclear,Other,Small Hydro,Solar,Wind
23535.096,-2136.393,175.86995,274.87283,-0.13583815,748.43353,-1007.91907,1226.8468,5862.818,1879.4653,0,251.9104,14252.954,2006.3728
23617.74,-2026.078,175.93063,274.8237,-0.14739884,748.51447,-1044.3757,1232.9856,5889.185,1879.6359,0,251.82082,14214.584,2020.8613
23707.336,-1948.6185,175.86127,274.7052,-0.14161849,748.48846,-1055.0549,1239.7717,5924.0635,1879.8265,0,251.80925,14179.882,2036.7428
23781.156,-1898.9971,175.89307,274.64163,-0.14161849,748.5578,-1044.9827,1250.6445,5956.783,1880.0752,0,251.71677,14135.581,2051.3843
23820.887,-2003.1792,175.86127,274.96533,-0.12427746,748.69653,-955.185,1315.8324,5979.5117,1879.7659,0,251.92197,14091.679,2061.1416
23897.396,-1975.4421,175.93642,274.75723,-0.12716763,748.79767,-911.9682,1345.9451,5987.188,1879.8064,0,252.89017,14043.954,2075.659
23981.668,-1874.5693,175.87283,274.65607,-0.11849711,748.974,-916.80634,1357.5867,5994.7803,1879.9509,0,253.23988,13996.627,2091.4739
24077.098,-1763.3092,175.96243,274.6214,-0.10404624,748.9682,-937.42773,1375.9683,6014.104,1880.026,0,253.25145,13950.885,2104.153
24177.164,-1598.2977,176.01445,274.58093,-0.098265894,749.12427,-973.95087,1371.9624,6053.737,1880.5173,0,253.35838,13872.093,2118.1243
24276.775,-1495.7283,176.0607,274.36993,-0.10693642,749.1098,-1000.80347,1368.7428,6117.8613,1880.5636,0,253.34682,13821.968,2131.3901
24367.408,-1448.1127,175.98555,274.52023,-0.098265894,748.86127,-999.49133,1380.4769,6172.734,1880.6185,0,253.19942,13783.283,2145.4307
24478.066,-1379.9683,176.01157,274.52023,-0.10115607,748.92487,-997.81793,1390.1243,6232.4453,1880.7196,0,253.07515,13736.295,2163.8381
24562.168,-1276.2725,176.08116,274.3768,-0.11014493,748.86084,-1011.5681,1391.2551,6295.2666,1879.7275,0,252.9971,13656.0205,2175.5334
24683.633,-1163.9159,176.14203,274.29855,-0.11884058,748.86957,-1046.371,1409.8232,6361.8115,1879.7478,0,253.04927,13599.275,2191.0203
24804.385,-1070.0464,176.04347,274.17682,-0.11594203,748.86957,-1036.829,1422.113,6436.38,1879.8492,0,252.93044,13519.687,2201.3276
24964.375,-1069.6772,176.18732,274.0807,-0.17291066,749.2219,-964.00867,1453.4697,6559.9136,1882.1758,0,252.83574,13429.049,2221.2998
25002.701,-1185.1355,176.25072,274.23056,-0.16138329,749.4121,-834.74927,1548.856,6606.8906,1882.0259,0,253.84726,13297.202,2234.0317
25083.969,-1132.6743,176.17291,274.2997,-0.16426513,749.6311,-711.804,1600.1671,6616.68,1882.0778,0,259.1268,13126.867,2243.588
25211.994,-995.54755,176.10374,274.32565,-0.13832854,749.80695,-667.5879,1621.1182,6668.726,1882.0864,0,260.9827,12982.285,2259.8328
